Order Date,Order #,Order Status,Service Date,Installer Name,Installer Address,Installer City,Vehicle Reg,Vehicle Make,Vehicle Model,Vehicle Year ,SKU,Brand,Name,QTY Ordered,width,height,rim size,year,Subtotal ,Shipping & Handling ,Discount,Tax Amount,Grand Total
3/2/2016 14:31,100000265,complete,6/2/2016,TyrePlus,"Al Barsha  Mall, Basement 2 ,23rd St. Al Barsha 2",Dubai,I84642,hyundai,i20,2014,Hankook016,,Optimo K715,4,,,,,1000,0,0,0,1000
3/2/2016 19:14,100000266,complete,4/2/2016,ZDegree ,"Enoc Petrol Pump, Next To Al Waha St Exit, 
Near Burj Khalifa, Al Khail Road Towards Abu Dhabi",Dubai,C63896,suzuki,ertiga,2015,NIT185/65R15-88H-NT650,,NT650,4,,,,,796,0,0,0,796
4/2/2016 19:30,100000267,complete,6/2/2016,TyrePlus,"Al Barsha  Mall, Basement 2 ,23rd St. Al Barsha 2",Dubai,H81992,bmw,3-series,2007,CON03505440000,Continental,ContiSportContact 5 SSR MO Extended,2,225,40,18,2019,1700,0,0,0,1700
6/2/2016 17:44,100000268,complete,7/2/2016,TyrePlus,"behind Honda Showroom / Oasis Centre , Opposite Al Quoz Graveyard",Dubai,M83036,bmw,3-series,2008,BR255/30R1991Y-050A-RFT,,Potenza RE050A XL,2,,,,,2026,0,0,0,2026
6/2/2016 20:37,100000269,complete,7/2/2016,TyrePlus,"inside Enoc petrol station, 
",Dubai,M31962,ram,1500,2012,NIT265/70R17-113S-DURAGRAPPLER,,DURA GRAPPLER,4,,,,,2244,0,0,0,2244
8/2/2016 15:11,100000270,complete,9/2/2016,TyrePlus,"behind Honda Showroom / Oasis Centre , Opposite Al Quoz Graveyard",Dubai,E33849,honda ,city,2006,ZEE1200023612,Zeetex,ZT1000,4,175,65,14,2020,596,0,0,0,596
9/2/2016 20:12,100000272,complete,10/2/2016,TyrePlus,"Next to RTA Building, Marrakesh st,",Dubai,m70852,honda,civic,2013,ZEE1200023610,Zeetex,ZT1000,4,205,55,16,2020,828,0,0,0,828
10/2/2016 12:26,100000273,complete,11/2/2016,TyrePlus,"inside Enoc petrol station, 
",Dubai,Q73082,ford,edge,2014,PIR1200023426,,Scorpion Zero,1,,,,,1288,0,0,0,1288
10/2/2016 17:31,100000274,complete,11/2/2016,ZDegree,"Hessa - ENOC Petrol Station, Al Khail Rd, 
Next To Al Barsha Police Station & GEMS Soccer Field",Dubai,81157,honda,civic,2009,ZEE1200023610,Zeetex,ZT1000,4,205,55,16,2020,828,0,0,0,828
11/2/2016 17:04,100000275,complete,13-02-16,ZDegree Mobile - Dubai,Dubai,Dubai,054688M,land-rover,lr4,2011,CON03540210000,Continental,4x4 Contact,5,255,55,19,2019,4245,0,0,0,4344
11/2/2016 17:08,100000276,complete,14-02-16,FirstStop,Khalifa city,Abu Dhabi,59702,audi,a5,2013,CONC03561040000,,ContiSportContact 3 RO1,4,,,,,4500,0,0,0,4500
14-02-16 15:13,100000278,complete,15-02-16,ZDegree ,"Enoc Petrol Pump, Next To Al Waha St Exit, 
Near Burj Khalifa, Al Khail Road Towards Abu Dhabi",Dubai,J34671,porsche,cayman,2008,MIC505499,Michelin,Pilot Sport PS2 N2,2,265,35,19,2019,5000,0,-200,0,4800
,,,,,,,,,,,MIC531615,,Pilot Sport PS2 N2,2,,,,,,,,,
14-02-16 15:58,100000279,complete,15-02-16,ZDegree ,"Enoc Petrol Pump, Next To Al Waha St Exit, 
Near Burj Khalifa, Al Khail Road Towards Abu Dhabi",Dubai,G30848,Chevrolet,CR8,2008,BR245/35R1993Y-S001,Bridgestone,Potenza S001 XL,2,245,35,19,2020,4154,0,-154,0,4000
,,,,,,,,,,,BR275/35R19100Y-S001,Bridgestone,Potenza S001 XL,2,275,35,19,2018,,,,,
15-02-16 17:16,100000280,complete,16-02-16,ZDegree Mobile - Dubai,Dubai,Dubai,K44796,volkswagen,touareg,2014,GOO275/45R20N1110v,,Eagle LS-2 N1,2,,,,,2198,0,0,0,2297
16-02-16 16:51,100000281,complete,17-02-16,TyrePlus,"behind Honda Showroom / Oasis Centre , Opposite Al Quoz Graveyard",Dubai,M34781,mercedes,gl-class,2007,KUM142,,Eco Solus KL21,2,,,,,1708,0,0,0,1708
16-02-16 23:03,100000282,complete,20-02-16,ZDegree Mobile - Dubai,Dubai,Dubai,Q94008,mercedes,c-class-amg,2014,CON03507130000,,ContiSportContact 5P MO,2,,,,,4656,0,0,0,4755
,,,,,,,,,,,CON03507120000/C0356720000,Continental,ContiSportContact 5P MO,2,235,35,19,2020,,,,,
17-02-16 19:49,100000283,complete,20-02-16,TyrePlus,"inside Enoc petrol station, 
",Dubai,94166,toyota,corolla,2013,NIT195/65R15-91H-NT650,,NT650,4,,,,,956,0,0,0,956
20-02-16 19:00,100000284,complete,21-02-16,TyrePlus,"Behind Suzuki Showroom, Opp Nissan Service Center",Dubai,M87560,lexus,rx,2013,BR235/55R19101V-D422,,Dueler H/L D422,4,,,,,2636,0,0,0,2636
20-02-16 21:14,100000285,complete,22-02-16,TyrePlus,"inside Enoc petrol station, 
",Dubai,f90927,toyota,corolla,2014,ZEE1200023610,Zeetex,ZT1000,4,205,55,16,2020,828,0,0,0,828
20-02-16 23:29,100000286,complete,21-02-16,TyrePlus,"inside Enoc petrol station, 
",Dubai,M15299,honda,civic,2005,YOK017,,A.drive AA01,4,,,,,1296,0,0,0,1296
21-02-16 0:05,100000287,complete,22-02-16,FirstStop,Corniche,Abu Dhabi,49827,hyundai,santa-fe,2014,BR235/55R19101V-D422,,Dueler H/L D422,4,,,,,2636,0,0,0,2636
21-02-16 14:37,100000288,complete,22-02-16,ZDegree,"Hessa - ENOC Petrol Station, Al Khail Rd, 
Next To Al Barsha Police Station & GEMS Soccer Field",Dubai,Q10475,dodge,charger,2014,PIR1200014566,Pirelli,P Zero,4,245,45,20,2018,4280,0,-800,0,3480
21-02-16 14:52,100000289,complete,22-02-16,ZDegree,"Hessa - ENOC Petrol Station, Al Khail Rd, 
Next To Al Barsha Police Station & GEMS Soccer Field",Dubai,hhhhhh,bmw,x5-m,2009,CON03541290000,Continental,ContiSportContact 5,2,315,25,23,2018,3680,0,-580,0,3100
21-02-16 17:34,100000290,complete,22-02-16,ZDegree,"Behind Emirates Glass, Near Umm Suqeim St
",Dubai,M71677,renault,clio,2010,BR225/45R1791W-RE003,,Potenza Adrenalin RE003,4,,,,,1764,0,0,0,1764
22-02-16 20:04,100000291,complete,23-02-16,Hankook Masters,"10th St corner Baghdad St, Grand Service Station Building
",Dubai,76669,nissan,patrol,2013,MIC887014,Michelin,Latitude Tour HP,4,275,60,20,2019,4008,0,-132,0,3876
23-02-16 15:43,100000292,complete,27-02-16,TyrePlus,"behind Honda Showroom / Oasis Centre , Opposite Al Quoz Graveyard",Dubai,J18360,toyota,rav4,2009,BR225/65R17102H-D850,,Dueler H/T D850,4,,,,,2120,0,0,0,2120
24-02-16 18:39,100000293,complete,27-02-16,ZDegree,"Hessa - ENOC Petrol Station, Al Khail Rd, 
Next To Al Barsha Police Station & GEMS Soccer Field",Dubai,9534,porsche,cayenne,2013,NEX1200031482,Nexen,NFERA RU1,4,255,55,18,2019,2220,0,-272,0,1948
27-02-16 18:32,100000294,complete,27-02-16,TyrePlus,"Al Barsha  Mall, Basement 2 ,23rd St. Al Barsha 2",Dubai,F25766,ford,focus,2013,GY-235/40R1895Y,,Eagle F1 Asymmetric 2 FO1 XL,2,,,,,1574,0,0,0,1574
27-02-16 20:18,100000295,complete,28-02-16,ZDegree,"Hessa - ENOC Petrol Station, Al Khail Rd, 
Next To Al Barsha Police Station & GEMS Soccer Field",Dubai,F81952,volkswagen,golf,2014,CON03507390000,Continental,ContiSportContact 5 MO,4,245,45,18,2019,2628,0,0,0,2628
28-02-16 17:57,100000297,complete,29-02-16,TyrePlus,"behind Honda Showroom / Oasis Centre , Opposite Al Quoz Graveyard",Dubai,G15478,mercedes,slk-class,2012,CON03505440000,Continental,ContiSportContact 5 SSR MO Extended,2,225,40,18,2019,4088,0,0,0,4088
,,,,,,,,,,,CON03509510000,,ContiSportContact 5 SSR ,2,,,,,,,,,
28-02-16 18:24,100000298,complete,29-02-16,TyrePlus,"Al Barsha  Mall, Basement 2 ,23rd St. Al Barsha 2",Dubai,59294K,bmw,5-series,2013,PIR1200024103,Pirelli,Cinturato P7,4,225,55,17,2020,4848,0,-748,0,4100
28-02-16 23:04,100000299,complete,6/3/2016,Al Masaood,"Al masaood , Al Falah Street,Opp Ministry of Finance",Abu Dhabi,44283,honda,cr-v,2011,MIC872960,,Latitude Tour HP,4,,,,,2512,0,-312,0,2200
29-02-16 0:07,100000300,complete,29-02-16,ZDegree Mobile - Dubai,Dubai,Dubai,N12863,honda,crosstour,2012,PIR1200007287,,Cinturato P7,4,,,,,2916,0,0,0,2916
29-02-16 10:18,100000301,complete,1/3/2016,ZDegree Mobile - Dubai,Dubai,Dubai,D13814,porsche,boxster,2013,PIR1200012439,Pirelli,P Zero N2,2,235,35,19,2019,5872,0,-400,0,5571
,,,,,,,,,,,PIR1200012440,Pirelli,P Zero N2,2,265,35,19,2019,,,,,
29-02-16 13:18,100000302,complete,1/3/2016,TyrePlus,"behind Honda Showroom / Oasis Centre , Opposite Al Quoz Graveyard",Dubai,B74288,audi,a5,2009,PIR1200024069,Pirelli,P Zero MO,4,255,35,19,2020,5508,0,-1308,0,4200
1/3/2016 9:21,100000304,complete,2/3/2016,ZDegree,"Hessa - ENOC Petrol Station, Al Khail Rd, 
Next To Al Barsha Police Station & GEMS Soccer Field",Dubai,i85186,honda,city,2008,NEX-185-60-15,,CP672,4,,,,,800,0,0,0,800
1/3/2016 9:35,100000305,complete,2/3/2016,ZDegree,"Hessa - ENOC Petrol Station, Al Khail Rd, 
Next To Al Barsha Police Station & GEMS Soccer Field",Dubai,a41840,honda,civic,2004,NEX-195-65-15,Nexen,CP672,4,195,65,15,2019,820,0,0,0,820
1/3/2016 11:52,100000306,complete,3/3/2016,ZDegree ,"Enoc Petrol Pump, Next To Al Waha St Exit, 
Near Burj Khalifa, Al Khail Road Towards Abu Dhabi",Dubai,87308,jaguar,xf,2013,BR245/40R1994W-050A-TL,,Potenza RE050A TL,4,,,,,4048,0,-160,0,3888
1/3/2016 12:51,100000307,complete,3/3/2016,Al Masaood,"Al masaood , Al Falah Street,Opp Ministry of Finance",Abu Dhabi,50735,Toyota,Prado,2014,CON15492740000,,ContiCrossContact LX 2 FR,4,,,,,2996,0,-449.4,0,2546.6
1/3/2016 17:56,100000308,complete,3/3/2016,ZDegree Mobile - Dubai,Dubai,Dubai,F24526,Mitsubishi,Pajero,2012,PIR1200007675,Pirelli,Scorpion STR,4,265,65,17,2019,2808,0,0,0,2907
2/3/2016 10:50,100000309,complete,3/3/2016,TyrePlus,"Next to RTA Building, Marrakesh st,",Dubai,E6981,toyota,camry,2010,CON03503380000,,ContiPremiumContact 2,4,,,,,1876,0,-281.4,0,1594.6
2/3/2016 11:09,100000310,complete,3/3/2016,TyrePlus,"Next to RTA Building, Marrakesh st,",Dubai,38478,mazda,mazda6,2014,BR225/55R1797W-RE003,,Potenza Adrenalin RE003,4,,,,,1968,0,-100,0,1868
3/3/2016 9:27,100000311,complete,7/3/2016,ZDegree,"Hessa - ENOC Petrol Station, Al Khail Rd, 
Next To Al Barsha Police Station & GEMS Soccer Field",Dubai,N78797,ford,explorer,2013,PIR1200007613,Pirelli,Scorpion Zero,4,245,45,20,2019,5600,0,0,0,5600
3/3/2016 11:44,100000312,complete,5/3/2016,ZDegree ,"Enoc Petrol Pump, Next To Al Waha St Exit, 
Near Burj Khalifa, Al Khail Road Towards Abu Dhabi",Dubai,64851,gmc,sierra-1500,2012,NEX-285-45-R22,,RO HP,4,,,,,2556,0,0,0,2556
5/3/2016 14:45,100000314,complete,6/3/2016,ZDegree,"Hessa - ENOC Petrol Station, Al Khail Rd, 
Next To Al Barsha Police Station & GEMS Soccer Field",Dubai,90136,nissan,pathfinder,2013,Hankook137,,Ventus AS RH07,4,,,,,3244,0,0,0,3244
5/3/2016 14:54,100000315,complete,5/3/2016,TyrePlus,"Al Barsha  Mall, Basement 2 ,23rd St. Al Barsha 2",Dubai,76524,Porsche ,Cayenne ,2009,PIR1200017683,Pirelli,P Zero N1,4,295,35,21,2018,5880,0,0,0,5880
5/3/2016 15:06,100000316,complete,6/3/2016,ZDegree,"Hessa - ENOC Petrol Station, Al Khail Rd, 
Next To Al Barsha Police Station & GEMS Soccer Field",Dubai,52897,mercedes,slk-class,2013,PIR1200007985,,P Zero MO,2,,,,,3726,0,0,0,3726
,,,,,,,,,,,PIR1200015957,,P Zero MO,2,,,,,,,,,
7/3/2016 6:38,100000317,complete,8/3/2016,TyrePlus,"Behind Suzuki Showroom, Opp Nissan Service Center",Dubai,j80994,infiniti,g,2008,BR245/45R1896W-G90,,Turanza GR90,2,,,,,1344,0,0,0,1344
7/3/2016 12:46,100000318,complete,9/3/2016,Al Masaood,Salam Street,Abu Dhabi,53095,jeep,grand-cherokee,2009,NEX-235-65-17,,NFERA RU5,4,,,,,1796,0,0,0,1796
8/3/2016 8:29,100000319,complete,9/3/2016,TyrePlus,"behind Honda Showroom / Oasis Centre , Opposite Al Quoz Graveyard",Dubai,57321,audi,a8,2012,CON03500020000,Continental,ContiSportContact 3 AO,4,265,40,20,2018,6212,0,-400,0,5812
8/3/2016 15:27,100000320,complete,9/3/2016,TyrePlus ,"Opposite Central Trading Company, 20th Street",Dubai,K3180,mercedes,e-class,2011,MIC752923,,Pilot Sport 3 GRNX ,2,,,,,3796,0,0,0,3796
,,,,,,,,,,,MIC214952/916790,,Pilot Sport 3 GRNX ,2,,,,,,,,,
10/3/2016 10:51,100000324,complete,14-03-16,ZDegree,"Hessa - ENOC Petrol Station, Al Khail Rd, 
Next To Al Barsha Police Station & GEMS Soccer Field",Dubai,Q13567,toyota,land-cruiser-prado,2014,CON15492740000,,ContiCrossContact LX 2 FR,4,,,,,2996,0,-449.4,0,2546.6
10/3/2016 11:11,100000325,complete,13-03-16,TyrePlus,"Behind Suzuki Showroom, Opp Nissan Service Center",Dubai,M43982,infiniti,fx,2013,MIC612231,Michelin,Latitude Sport 3 GRNX,4,265,50,20,2019,5568,0,0,0,5568
10/3/2016 14:59,100000326,complete,12/3/2016,TyrePlus,"Next to RTA Building, Marrakesh st,",Dubai,79270,honda,s2000,2006,BR215/45R1791W-RE003,,Potenza Adrenalin RE003,2,,,,,1960,0,0,0,1960
,,,,,,,,,,,BR245/40R1791W-RE003,,Potenza Adrenalin RE003,2,,,,,,,,,
12/3/2016 7:34,100000327,complete,13-03-16,TyrePlus,"inside Enoc petrol station, 
",Dubai,Q78508,volkswagen,passat,2014,CON03503380000,,ContiPremiumContact 2,4,,,,,1400,0,0,0,1400
12/3/2016 9:25,100000328,complete,15-03-16,TyrePlus,"Next to RTA Building, Marrakesh st,",Dubai,M90436,jaguar,xf,2011,GY-245/45R18100Y-EFGAOXL,Goodyear,EfficientGrip AO XL,4,245,45,18,2020,2404,0,0,0,2404
12/3/2016 12:15,100000330,complete,13-03-16,TyrePlus,"Inside Grand Service Station, Tripoli Street",Dubai,3424,mercedes,c-class,2015,BR245/40R1897Y-S001,Bridgestone,Potenza S001 XL,1,245,40,18,2019,889,0,0,0,889
12/3/2016 13:56,100000331,complete,13-03-16,ZDegree Mobile - Dubai,Dubai,Dubai,xXXXX,Maserati,Ghibli,2014,PIR1200032800,,P Zero MGT,3,,,,,3867,0,0,0,3966
13-03-16 17:05,100000333,complete,14-03-16,TyrePlus,"behind Honda Showroom / Oasis Centre , Opposite Al Quoz Graveyard",Dubai,Export,porsche,cayman,2010,MIC505499,Michelin,Pilot Sport PS2 N2,2,265,35,19,2019,5260,0,-261,0,4999
,,,,,,,,,,,MIC531615,,Pilot Sport PS2 N2,2,,,,,,,,,
14-03-16 6:18,100000334,complete,15-03-16,ZDegree ,"Enoc Petrol Pump, Next To Al Waha St Exit, 
Near Burj Khalifa, Al Khail Road Towards Abu Dhabi",Dubai,96573,bmw,z4-roadster,2013,NIT225/40R18-92W-NT555,,NT555,4,,,,,6062,0,0,0,6062
,,,,,,,,,,,BR225/35R1988Y-050A-RFT,,Potenza RE050A XL,2,,,,,,,,,
,,,,,,,,,,,BR255/30R1991Y-050A-RFT,,Potenza RE050A XL,2,,,,,,,,,
14-03-16 8:26,100000335,complete,16-03-16,ZDegree,"Behind Emirates Glass, Near Umm Suqeim St
",Dubai,L81298,jeep,wrangler,2009,ROA1200033936,Roadstone,RO HTX RH5,4,255,70,18,2020,2096,0,0,0,2096
15-03-16 12:08,100000336,complete,16-03-16,ZDegree,"Shk Mohd Bin Zd Rd, E 311, -Inside Enoc Fuel Station - 
",Dubai,95470,chevrolet,malibu,2014,DUN55351,,SP SPORT 270,4,,,,,1700,0,0,0,1700
17-03-16 5:55,100000337,complete,19-03-16,TyrePlus,"Next to RTA Building, Marrakesh st,",Dubai,R50360,Nissan,Sunny,2013,NIT175/70R14-88H-NT860,,NT860,2,,,,,350,0,0,0,350
17-03-16 9:35,100000338,complete,19-03-16,ZDegree Mobile - Dubai,Dubai,Dubai,O24960,mercedes,c-class,2009,PIR1200024049,Pirelli,P Zero MO,2,275,30,19,2020,2550,0,0,0,2649
17-03-16 12:00,100000339,complete,20-03-16,SuperCarz,"Plot #213 - Hessa Bint Mohamed Street - Al Sanaaiya - Al Ain 
",Al Ain,30290,nissan,altima,2008,CON03503380000,,ContiPremiumContact 2,4,,,,,1352,0,0,0,1352
19-03-16 9:12,100000340,complete,20-03-16,Gulf Coasts Co,"Inside Grand Lube Service Station, 
facing Al Safa Street ",Dubai,l75078,mitsubishi,pajero,2010,YOK170,,GEOLANDAR H/T-S G051,4,,,,,2712,0,0,0,2712
19-03-16 17:39,100000342,complete,22-03-16,ZDegree Mobile - Dubai,Dubai,Dubai,K21649,volkswagen,touareg,2014,BR255/55R18109Y-DHPS,,Dueler H/P Sport DHPS,4,,,,,3612,0,0,0,3612
20-03-16 5:28,100000343,complete,21-03-16,TyrePlus,"Al Barsha  Mall, Basement 2 ,23rd St. Al Barsha 2",Dubai,N96427,audi,q5,2012,NIT235/60R18-107V-NT850PLUS,,NT850 PLUS,4,,,,,1424,0,0,0,1424
20-03-16 6:10,100000344,complete,21-03-16,TyrePlus ,"Opposite Central Trading Company, 20th Street",Dubai,L6140,mercedes,e-class,2012,CON03504040000,Continental,ContiSportContact 3 MO,2,245,40,18,2019,3100,0,0,0,3100
,,,,,,,,,,,CON03504050000,Continental,ContiSportContact 3 MO,2,265,35,18,2020,,,,,
20-03-16 15:05,100000345,complete,22-03-16,SuperCarz,"M-17, Mussafah Industrial Area ",Abu Dhabi,N35141,bmw,x5,2008,DUN35011,,SP Sport Maxx GT XL,2,,,,,6544,0,0,0,6544
,,,,,,,,,,,DUN30024,,SP Sport Maxx GT XL,2,,,,,,,,,
22-03-16 4:49,100000346,complete,23-03-16,ZDegree,"Hessa - ENOC Petrol Station, Al Khail Rd, 
Next To Al Barsha Police Station & GEMS Soccer Field",Dubai,d39540,nissan,maxima,2010,BR245/40R1994W-050A-TL,,Potenza RE050A TL,1,,,,,918,0,0,0,918
22-03-16 8:44,100000347,complete,23-03-16,TyrePlus,"Next to RTA Building, Marrakesh st,",Dubai,F67475,volkswagen,cc,2015,CON03506030000 / C03564510000,,ContiSportContact 3 N1,4,,,,,3596,0,-539.4,0,3056.6
23-03-16 11:38,100000350,complete,24-03-16,Gulf Coasts Co,"Inside Grand Lube Service Station, 
facing Al Safa Street ",Dubai,O92340,volvo,xc90,2012,ZEE1200032153,,SU1000,5,,,,,1585,0,0,0,1585
23-03-16 18:18,100000351,complete,25-03-16,ZDegree,"Hessa - ENOC Petrol Station, Al Khail Rd, 
Next To Al Barsha Police Station & GEMS Soccer Field",Dubai,J94238,nissan,x-terra,2008,DUN472,Dunlop,Grandtrek TG35-M2,4,265,70,16,2019,2240,0,0,0,2240
25-03-16 12:20,100000352,complete,27-03-16,TyrePlus,"Al Barsha  Mall, Basement 2 ,23rd St. Al Barsha 2",Dubai,L14274,volvo,xc60,2011,Hankook066,,Dynapro HP2 RA33,4,,,,,2160,0,0,0,2160
26-03-16 7:45,100000353,complete,27-03-16,ZDegree Mobile - Dubai,Dubai,Dubai,k71447,bmw,5-series,2012,CON03502830000,Continental,ContiSportContact 3 E SSR,1,245,45,18,2019,1077,0,0,0,1176
